r,Gr
0.01,4.552192259035554
0.02,9.013958762853012
0.03,13.2977635109997
0.04,17.32172473482751
0.05,21.012135467372666
0.06,24.305634467232853
0.0699999999999999,27.15094010591791
0.08,29.510082523923447
0.09,31.35909504246668
0.0999999999999999,32.68815296330234
0.11,33.50117491588749
0.12,33.81492727961296
0.13,33.657694519787825
0.14,33.06759635783747
0.15,32.09064567359317
0.16,30.778648379350987
0.17,29.18704804692278
0.18,27.372814009308367
0.19,25.39246253323557
0.2,23.30028728991445
0.21,21.146858781085527
0.22,18.97783378866372
0.23,16.833096547279965
0.24,14.74623439845772
0.25,12.744333273459894
0.26,10.848063394206967
0.27,9.072013777181583
0.28,7.425225914763376
0.29,5.911872562803087
0.3,4.532026791293242
0.31,3.2824690299343886
0.32,2.157485241241298
0.33,1.149616917999817
0.34,0.2503325842519367
0.35,-0.5493998874812203
0.36,-1.2586512767848508
0.37,-1.886181640550999
0.38,-2.440198288843288
0.39,-2.928209871893685
0.4,-3.3569611926917493
0.41,-3.732431074725268
0.42,-4.0598750834466175
0.43,-4.343895891745107
0.44,-4.5885262711914665
0.45,-4.797312704203477
0.46,-4.973391052367783
0.47,-5.119549205801159
0.48,-5.238274848840662
0.49,-5.33178915108858
0.5,-5.402069158324221
0.51,-5.450862834672066
0.52,-5.479701103185885
0.53,-5.489910931015686
0.54,-5.482632651751259
0.55,-5.458843494536315
0.56,-5.419387896739133
0.5700000000000001,-5.365013808583519
0.5800000000000001,-5.296413023809172
0.59,-5.214262720165459
0.6,-5.119264948106868
0.61,-5.012180793082988
0.62,-4.89385633264962
0.63,-4.765238246242567
0.64,-4.627377911329695
0.65,-4.481423913241934
0.66,-4.328603980204663
0.67,-4.170198311352921
0.68,-4.0075069958116645
0.6900000000000001,-3.841814656979053
0.7000000000000001,-3.674355564829746
0.7100000000000001,-3.506282243762437
0.72,-3.338640101687903
0.73,-3.172349883257596
0.74,-3.008198891569448
0.75,-2.846841023163995
0.76,-2.688804814580924
0.77,-2.534507988492706
0.78,-2.384276478013941
0.79,-2.2383656392774003
0.8,-2.096981347519985
0.81,-1.960298896315373
0.8200000000000001,-1.8284780446270643
0.8300000000000001,-1.7016731246118908
0.8400000000000001,-1.580037765383546
0.85,-1.4637244311902688
0.86,-1.3528795476713704
0.87,-1.247635439178013
0.88,-1.1481005824164257
0.89,-1.054349775957171
0.9,-0.9664157319314712
0.91,-0.8842833362835144
0.92,-0.8078874351106903
0.93,-0.7371145369205141
0.94,-0.6718083302837476
0.95,-0.6117784594221487
0.96,-0.5568116265579917
0.97,-0.5066838378160774
0.98,-0.4611725024756016
0.99,-0.4200671397816431
1.0,-0.3831776326822533
1.01,-0.3503392678915926
1.02,-0.3214141789189983
1.03,-0.2962892182148796
1.04,-0.2748706793492606
1.05,-0.2570766262807643
1.06,-0.2428278282659201
1.07,-0.2320384213366403
1.08,-0.2246074099777856
1.09,-0.2204119897755581
1.1,-0.2193034313143762
1.11,-0.2211059469064961
1.12,-0.2256186022728747
1.13,-0.2326199761913737
1.14,-0.2418749526566963
1.15,-0.2531427872700239
1.16,-0.2661854484448341
1.17,-0.2807752089918657
1.18,-0.2967005561471977
1.19,-0.3137696866144217
1.2,-0.3318111347013036
1.21,-0.3506714143094493
1.22,-0.3702099022712475
1.23,-0.3902915129925067
1.24,-0.4107779771290592
1.25,-0.4315187113415153
1.26,-0.452342332932828
1.27,-0.4730498248733937
1.28,-0.4934101981403944
1.29,-0.5131592459065026
1.3,-0.5320016642393338
1.31,-0.5496164599939372
1.32,-0.565665215404786
1.33,-0.579802467115707
1.34,-0.5916872175703743
1.35,-0.6009944540154497
1.36,-0.607425520182199
1.37,-0.6107162720302807
1.38,-0.6106421441546802
1.39,-0.6070195392113878
1.4,-0.5997033018219718
1.41,-0.5885804176324119
1.42,-0.5735604515638801
1.43,-0.5545635716429032
1.44,-0.5315072651598395
1.45,-0.5042930183770407
1.46,-0.4727942849006936
1.47,-0.4368470068457774
1.48,-0.3962437833014514
1.49,-0.3507325182443922
1.5,-0.3000200487301985
1.51,-0.2437808831034971
1.52,-0.1816707997971312
1.53,-0.1133447012123987
1.54,-0.0384778120003424
1.55,0.0432109211338041
1.56,0.1319345155943742
1.57,0.227814063297715
1.58,0.33085656267625
1.59,0.4409356468133344
1.6,0.5577761933668623
1.61,0.6809435670557012
1.62,0.809837986477453
1.63,0.9436942453692356
1.64,1.081586773094519
1.65,1.2224398049883514
1.66,1.365042259880695
1.6700000000000002,1.5080667937143355
1.68,1.6500924134262764
1.69,1.7896299884547882
1.7,1.925149979506916
1.71,2.0551117051753462
1.72,2.1779934763608773
1.73,2.2923229376543266
1.74,2.396706958180767
1.75,2.489860409914783
1.76,2.570633161050281
1.77,2.6380346011471327
1.78,2.6912550117129683
1.79,2.729683110344457
1.8,2.752919138291426
1.81,2.760782938527336
1.82,2.7533165893639686
1.83,2.730781318528868
1.84,2.6936486209005355
1.85,2.642585731398837
1.86,2.578435850097182
1.87,2.502193763301596
1.88,2.4149777339970933
1.89,2.3179987293130653
1.9,2.212528194704648
1.91,2.099865660917454
1.92,1.9813074718353327
1.93,1.858117846187169
1.94,1.7315033373212116
1.95,1.6025915425545745
1.96,1.4724146521353427
1.97,1.341898136949213
1.98,1.2118545755527093
1.99,1.0829823372156753
2.0,0.9558685891878264
2.01,0.8309959007671093
2.02,0.7087515864209898
2.03,0.589438871701553
2.04,0.4732889790622102
2.05,0.3604733097058777
